Image,Age,Gender,Ethnicity,Emotion,Annotation_by
image0001063.jpg,Baby (0-1),Man,White,Anger,Ivan
image0003108.jpg,Middle-aged Adult (30-49),Man,Middle Eastern,Anger,Ivan
image0006264.jpg,Young Adult (20-29),Woman,Black,Contempt,Ivan
image0013196.jpg,Elderly (65+),Man,Asian,Contempt,Ivan
image0019021.jpg,Young Adult (20-29),Woman,Asian,Contempt,Ivan
image0035153.jpg,Elderly (65+),Woman,White,Contempt,Ivan
ffhq_20.png,Older Adult (50-65),Man,Black,disgust,Ivan
ffhq_48.png,Child (2-9),Woman,Asian,disgust,Ivan
image0000866.jpg,Adolescent (10-19),Man,Black,disgust,Ivan
image0002926.jpg,Middle-aged Adult (30-49),Man,White,disgust,Ivan
image0011562.jpg,Child (2-9),Man,Black,disgust,Ivan
image0001685.jpg,Adolescent (10-19),Woman,Middle Eastern,fear,Ivan
image0003731.jpg,Young Adult (20-29),Man,Latino/Hispanic,fear,Ivan
image0012755.jpg,Adolescent (10-19),Man,Indian,fear,Ivan
image0013449.jpg,Young Adult (20-29),Woman,Middle Eastern,fear,Ivan
image0016644.jpg,Baby (0-1),Man,Black,fear,Ivan
image0018838.jpg,Baby (0-1),Woman,White,fear,Ivan
ffhq_10.png,Middle-aged Adult (30-49),Woman,Asian,happy,Ivan
ffhq_164.png,Middle-aged Adult (30-49),Man,Black,happy,Ivan
ffhq_3.png,Middle-aged Adult (30-49),Woman,Asian,happy,Ivan
ffhq_357.png,Child (2-9),Man,Black,happy,Ivan
ffhq_7.png,Child (2-9),Woman,Latino/Hispanic,happy,Ivan
ffhq_0.png,Baby (0-1),Woman,Latino/Hispanic,neutral,Ivan
ffhq_107.png,Older Adult (50-65),Woman,White,neutral,Ivan
ffhq_130.png,Child (2-9),Woman,Asian,neutral,Ivan
ffhq_15.png,Young Adult (20-29),Man,White,surprise,Ivan
ffhq_498.png,Middle-aged Adult (30-49),Man,Indian,neutral,Ivan
ffhq_54.png,Middle-aged Adult (30-49),Man,Indian,neutral,Ivan
ffhq_72.png,Middle-aged Adult (30-49),Man,Black,neutral,Ivan
ffhq_736.png,Older Adult (50-65),Man,Middle Eastern,neutral,Ivan
image0006237.jpg,Older Adult (50-65),Man,Middle Eastern,sad,Ivan
image0016204.jpg,Middle-aged Adult (30-49),Woman,White,sad,Ivan
image0016331.jpg,Older Adult (50-65),Woman,Asian,sad,Ivan
image0020274.jpg,Young Adult (20-29),Woman,White,sad,Ivan
image0020311.jpg,Child (2-9),Man,Black,sad,Ivan
ffhq_30.png,Baby (0-1),Man,Black,surprise,Ivan
ffhq_367.png,Young Adult (20-29),Man,Asian,surprise,Ivan
image0023529.jpg,Elderly (65+),Woman,White,surprise,Ivan
